region,quarter,quarterly_target,actual_revenue,attainment
Central,2024-Q1,1803000,1869764.13,1.037
Central,2024-Q2,1833000,1817575.67,0.992
Central,2024-Q3,1521000,1593764.49,1.048
Central,2024-Q4,1578000,1545936.25,0.98
Central,2025-Q1,1682000,1758698.98,1.046
Central,2025-Q2,1465000,1510485.27,1.031
Central,2025-Q3,1494000,1565160.9,1.048
Central,2025-Q4,1813000,1766509.63,0.974
East,2024-Q1,2445000,2566034.25,1.05
East,2024-Q2,2530000,2599575.84,1.028
East,2024-Q3,2216000,2473334.79,1.116
East,2024-Q4,2661000,2761057.47,1.038
East,2025-Q1,2591000,2782054.9,1.074
East,2025-Q2,3373000,3464125.87,1.027
East,2025-Q3,3105000,3412182.47,1.099
East,2025-Q4,3040000,3356503.9,1.104
North,2024-Q1,2224000,2259653.57,1.016
North,2024-Q2,2804000,3073341.65,1.096
North,2024-Q3,2260000,2312391.35,1.023
North,2024-Q4,2557000,2898595.15,1.134
North,2025-Q1,3213000,3609278.81,1.123
North,2025-Q2,2882000,2963565.66,1.028
North,2025-Q3,3639000,3812744.02,1.048
North,2025-Q4,3102000,3360692.13,1.083
South,2024-Q1,814000,703919.16,0.865
South,2024-Q2,668000,589739.65,0.883
South,2024-Q3,758000,617204.65,0.814
South,2024-Q4,927000,763746.21,0.824
South,2025-Q1,762000,595000.16,0.781
South,2025-Q2,609000,490528.73,0.805
South,2025-Q3,720000,639611.91,0.888
South,2025-Q4,566000,498764.81,0.881
West,2024-Q1,2537000,2684010.14,1.058
West,2024-Q2,2349000,2422551.43,1.031
West,2024-Q3,1923000,2077352.98,1.08
West,2024-Q4,2564000,2715731.6,1.059
West,2025-Q1,2446000,2703597.12,1.105
West,2025-Q2,3165000,3444549.21,1.088
West,2025-Q3,3111000,3398688.84,1.092
West,2025-Q4,3214000,3382521.53,1.052
